CFE_COR,CFE_ERR,CFE_EST,CFE_Sigma,FEH,LOGG,SPSPEC,TEFF
-0.437,0.083,-0.401452258578,0.0902484908435,-1.191,4.508,spec-0271-51883-0031.fits,5217.0
1.17,0.364,1.88201339029,0.45288476805,-2.562,3.217,spec-0271-51883-0577.fits,6489.0
-0.131,0.066,0.254215886488,0.0409835923183,-0.931,4.497,spec-0276-51909-0033.fits,5296.0
-0.351,0.098,,,-1.289,1.762,spec-0323-51615-0557.fits,5252.0
-0.011,0.078,0.113083847305,0.0395019921864,-1.402,2.992,spec-0330-52370-0640.fits,5229.0
0.014,0.059,0.270643873675,0.0240017909402,-1.76,4.583,spec-0422-51811-0260.fits,5248.0
-0.038,0.072,0.0123192810184,0.0894204235918,-1.425,4.492,spec-0427-51900-0285.fits,5260.0
1.125,0.181,2.15800142907,0.153075995586,-2.782,4.101,spec-3223-54865-0170.fits,6629.0
1.601,0.192,1.98891140198,0.311526654217,-1.34,4.211,spec-7456-56727-0036.fits,7531.0
