wl,flux
3000.000000000000,0.751915
3001.000000000000,0.618490
3002.000000000000,0.564347
3003.000000000000,0.582145
3004.000000000000,0.677352
3005.000000000000,0.753950
3006.000000000000,0.727246
3007.000000000000,0.652318
3008.000000000000,0.623013
3009.000000000000,0.670586
3010.000000000000,0.750339
3011.000000000000,0.779586
3012.000000000000,0.752932
3013.000000000000,0.752310
3014.000000000000,0.762642
3015.000000000000,0.751553
3016.000000000000,0.730784
3017.000000000000,0.684683
3018.000000000000,0.621620
3019.000000000000,0.540483
3020.000000000000,0.434419
3021.000000000000,0.428308
3022.000000000000,0.595803
3023.000000000000,0.739332
3024.000000000000,0.735553
3025.000000000000,0.664195
3026.000000000000,0.652167
3027.000000000000,0.748559
3028.000000000000,0.831184
3029.000000000000,0.823606
3030.000000000000,0.774808
3031.000000000000,0.749510
3032.000000000000,0.778757
3033.000000000000,0.828221
3034.000000000000,0.850262
3035.000000000000,0.855769
3036.000000000000,0.801398
3037.000000000000,0.685428
3038.000000000000,0.661762
3039.000000000000,0.736649
3040.000000000000,0.758669
3041.000000000000,0.725457
3042.000000000000,0.718339
3043.000000000000,0.762008
3044.000000000000,0.804459
3045.000000000000,0.818965
3046.000000000000,0.787909
3047.000000000000,0.706359
3048.000000000000,0.692537
3049.000000000000,0.755789
3050.000000000000,0.772638
3051.000000000000,0.776061
3052.000000000000,0.805215
3053.000000000000,0.786204
3054.000000000000,0.751057
3055.000000000000,0.759395
3056.000000000000,0.743599
3057.000000000000,0.653455
3058.000000000000,0.582012
3059.000000000000,0.605083
3060.000000000000,0.703314
3061.000000000000,0.797782
3062.000000000000,0.828001
3063.000000000000,0.786004
3064.000000000000,0.717978
3065.000000000000,0.679878
3066.000000000000,0.626408
3067.000000000000,0.580943
3068.000000000000,0.624970
3069.000000000000,0.713396
3070.000000000000,0.762385
3071.000000000000,0.760478
3072.000000000000,0.734668
3073.000000000000,0.739376
3074.000000000000,0.750969
3075.000000000000,0.717999
3076.000000000000,0.725041
3077.000000000000,0.759621
3078.000000000000,0.741079
3079.000000000000,0.731517
3080.000000000000,0.745680
3081.000000000000,0.733716
3082.000000000000,0.714519
3083.000000000000,0.726199
3084.000000000000,0.769996
3085.000000000000,0.805452
3086.000000000000,0.762684
3087.000000000000,0.663846
3088.000000000000,0.612217
3089.000000000000,0.610540
3090.000000000000,0.583745
3091.000000000000,0.532078
3092.000000000000,0.487885
3093.000000000000,0.484058
3094.000000000000,0.551339
3095.000000000000,0.601964
3096.000000000000,0.557141
3097.000000000000,0.515018
3098.000000000000,0.552395
3099.000000000000,0.555995
3100.000000000000,0.498371
3101.000000000000,0.483810
3102.000000000000,0.554675
3103.000000000000,0.675084
3104.000000000000,0.747221
3105.000000000000,0.742132
3106.000000000000,0.732803
3107.000000000000,0.771372
3108.000000000000,0.827916
3109.000000000000,0.829297
3110.000000000000,0.780881
3111.000000000000,0.755509
3112.000000000000,0.769694
3113.000000000000,0.780614
3114.000000000000,0.768625
3115.000000000000,0.784737
3116.000000000000,0.781061
3117.000000000000,0.717412
3118.000000000000,0.672092
3119.000000000000,0.640391
3120.000000000000,0.614819
3121.000000000000,0.617170
3122.000000000000,0.638024
3123.000000000000,0.687801
3124.000000000000,0.713375
3125.000000000000,0.685294
3126.000000000000,0.677977
3127.000000000000,0.691520
3128.000000000000,0.683555
3129.000000000000,0.681010
3130.000000000000,0.683230
3131.000000000000,0.691795
3132.000000000000,0.692507
3133.000000000000,0.667729
3134.000000000000,0.661138
3135.000000000000,0.692676
3136.000000000000,0.711660
3137.000000000000,0.733845
3138.000000000000,0.768244
3139.000000000000,0.778164
3140.000000000000,0.787384
3141.000000000000,0.790387
3142.000000000000,0.723761
3143.000000000000,0.539244
3144.000000000000,0.380010
3145.000000000000,0.418888
3146.000000000000,0.543164
3147.000000000000,0.604818
3148.000000000000,0.653354
3149.000000000000,0.724588
3150.000000000000,0.766203
3151.000000000000,0.771667
3152.000000000000,0.747700
3153.000000000000,0.737721
3154.000000000000,0.742167
3155.000000000000,0.697278
3156.000000000000,0.577947
3157.000000000000,0.431784
3158.000000000000,0.360192
3159.000000000000,0.387515
3160.000000000000,0.444822
3161.000000000000,0.474418
3162.000000000000,0.512327
3163.000000000000,0.573023
3164.000000000000,0.604144
3165.000000000000,0.610960
3166.000000000000,0.613507
3167.000000000000,0.616697
3168.000000000000,0.600991
3169.000000000000,0.589437
3170.000000000000,0.649581
3171.000000000000,0.734537
3172.000000000000,0.774367
3173.000000000000,0.770455
3174.000000000000,0.744996
3175.000000000000,0.741642
3176.000000000000,0.765430
3177.000000000000,0.759265
3178.000000000000,0.704664
3179.000000000000,0.615089
3180.000000000000,0.544884
3181.000000000000,0.520010
3182.000000000000,0.520448
3183.000000000000,0.548159
3184.000000000000,0.573491
3185.000000000000,0.590519
3186.000000000000,0.624244
3187.000000000000,0.647832
3188.000000000000,0.661032
3189.000000000000,0.683813
3190.000000000000,0.664384
3191.000000000000,0.591395
3192.000000000000,0.537418
3193.000000000000,0.555099
3194.000000000000,0.611409
3195.000000000000,0.646065
3196.000000000000,0.658155
3197.000000000000,0.663055
3198.000000000000,0.712195
3199.000000000000,0.737104
3200.000000000000,0.693729
3201.000000000000,0.691895
3202.000000000000,0.718297
3203.000000000000,0.729152
3204.000000000000,0.738567
3205.000000000000,0.748668
3206.000000000000,0.768469
3207.000000000000,0.757605
3208.000000000000,0.720714
3209.000000000000,0.706550
3210.000000000000,0.676272
3211.000000000000,0.628445
3212.000000000000,0.607417
3213.000000000000,0.594712
3214.000000000000,0.603465
3215.000000000000,0.660949
3216.000000000000,0.687497
3217.000000000000,0.672627
3218.000000000000,0.684925
3219.000000000000,0.710251
3220.000000000000,0.729458
3221.000000000000,0.728307
3222.000000000000,0.696095
3223.000000000000,0.701633
3224.000000000000,0.725252
3225.000000000000,0.703767
3226.000000000000,0.674810
3227.000000000000,0.651393
3228.000000000000,0.622404
3229.000000000000,0.615976
3230.000000000000,0.649142
3231.000000000000,0.700342
3232.000000000000,0.724605
3233.000000000000,0.690733
3234.000000000000,0.633649
3235.000000000000,0.618927
3236.000000000000,0.634807
3237.000000000000,0.683866
3238.000000000000,0.719237
3239.000000000000,0.695231
3240.000000000000,0.718404
3241.000000000000,0.761550
3242.000000000000,0.757926
3243.000000000000,0.751329
3244.000000000000,0.767441
3245.000000000000,0.807020
3246.000000000000,0.812966
3247.000000000000,0.753467
3248.000000000000,0.706819
3249.000000000000,0.731980
3250.000000000000,0.784472
3251.000000000000,0.803852
3252.000000000000,0.786839
3253.000000000000,0.761389
3254.000000000000,0.766318
3255.000000000000,0.815352
3256.000000000000,0.858720
3257.000000000000,0.870143
3258.000000000000,0.875734
3259.000000000000,0.879354
3260.000000000000,0.874933
3261.000000000000,0.872778
3262.000000000000,0.885736
3263.000000000000,0.885185
3264.000000000000,0.844148
3265.000000000000,0.821633
3266.000000000000,0.853076
3267.000000000000,0.889469
3268.000000000000,0.902983
3269.000000000000,0.899949
3270.000000000000,0.866393
3271.000000000000,0.813323
3272.000000000000,0.807035
3273.000000000000,0.840148
3274.000000000000,0.854102
3275.000000000000,0.851452
3276.000000000000,0.828439
3277.000000000000,0.810201
3278.000000000000,0.814825
3279.000000000000,0.818035
3280.000000000000,0.821040
3281.000000000000,0.815359
3282.000000000000,0.802947
3283.000000000000,0.809567
3284.000000000000,0.831412
3285.000000000000,0.839867
3286.000000000000,0.821666
3287.000000000000,0.796720
3288.000000000000,0.803590
3289.000000000000,0.839280
3290.000000000000,0.865977
3291.000000000000,0.861511
3292.000000000000,0.859389
3293.000000000000,0.884906
3294.000000000000,0.903992
3295.000000000000,0.893360
3296.000000000000,0.881885
3297.000000000000,0.880447
3298.000000000000,0.886732
3299.000000000000,0.888890
3300.000000000000,0.895376
3301.000000000000,0.884692
3302.000000000000,0.837010
3303.000000000000,0.825010
3304.000000000000,0.841160
3305.000000000000,0.810594
3306.000000000000,0.764557
3307.000000000000,0.754798
3308.000000000000,0.770866
3309.000000000000,0.797440
