wl,flux
3000.000000000000,0.837980
3001.000000000000,0.733172
3002.000000000000,0.683561
3003.000000000000,0.685189
3004.000000000000,0.752347
3005.000000000000,0.805275
3006.000000000000,0.783361
3007.000000000000,0.739296
3008.000000000000,0.732319
3009.000000000000,0.774050
3010.000000000000,0.822538
3011.000000000000,0.833001
3012.000000000000,0.807172
3013.000000000000,0.802821
3014.000000000000,0.817476
3015.000000000000,0.809606
3016.000000000000,0.793823
3017.000000000000,0.768546
3018.000000000000,0.726927
3019.000000000000,0.667412
3020.000000000000,0.575649
3021.000000000000,0.555034
3022.000000000000,0.679665
3023.000000000000,0.790322
3024.000000000000,0.797817
3025.000000000000,0.754709
3026.000000000000,0.742067
3027.000000000000,0.793313
3028.000000000000,0.840400
3029.000000000000,0.840801
3030.000000000000,0.816119
3031.000000000000,0.806301
3032.000000000000,0.827784
3033.000000000000,0.856568
3034.000000000000,0.871393
3035.000000000000,0.884311
3036.000000000000,0.854853
3037.000000000000,0.778809
3038.000000000000,0.765270
3039.000000000000,0.814475
3040.000000000000,0.820086
3041.000000000000,0.791625
3042.000000000000,0.795684
3043.000000000000,0.835713
3044.000000000000,0.863652
3045.000000000000,0.870017
3046.000000000000,0.852690
3047.000000000000,0.798007
3048.000000000000,0.781026
3049.000000000000,0.819240
3050.000000000000,0.831188
3051.000000000000,0.835481
3052.000000000000,0.849633
3053.000000000000,0.816298
3054.000000000000,0.769397
3055.000000000000,0.766115
3056.000000000000,0.761257
3057.000000000000,0.717121
3058.000000000000,0.685436
3059.000000000000,0.707043
3060.000000000000,0.771067
3061.000000000000,0.832871
3062.000000000000,0.855484
3063.000000000000,0.836578
3064.000000000000,0.801786
3065.000000000000,0.776118
3066.000000000000,0.726519
3067.000000000000,0.696092
3068.000000000000,0.742601
3069.000000000000,0.814420
3070.000000000000,0.849514
3071.000000000000,0.835497
3072.000000000000,0.805426
3073.000000000000,0.809285
3074.000000000000,0.820793
3075.000000000000,0.799833
3076.000000000000,0.800897
3077.000000000000,0.812470
3078.000000000000,0.796030
3079.000000000000,0.798377
3080.000000000000,0.814049
3081.000000000000,0.808477
3082.000000000000,0.801310
3083.000000000000,0.812813
3084.000000000000,0.838388
3085.000000000000,0.849063
3086.000000000000,0.787702
3087.000000000000,0.680492
