wl,flux
3000.000000000000,0.715162
3001.000000000000,0.567547
3002.000000000000,0.506995
3003.000000000000,0.525414
3004.000000000000,0.626598
3005.000000000000,0.706785
3006.000000000000,0.674637
3007.000000000000,0.595177
3008.000000000000,0.566335
3009.000000000000,0.618227
3010.000000000000,0.706338
3011.000000000000,0.739008
3012.000000000000,0.707548
3013.000000000000,0.703010
3014.000000000000,0.714681
3015.000000000000,0.704183
3016.000000000000,0.680174
3017.000000000000,0.628699
3018.000000000000,0.560842
3019.000000000000,0.479715
3020.000000000000,0.381098
3021.000000000000,0.382087
3022.000000000000,0.550860
3023.000000000000,0.696266
3024.000000000000,0.691738
3025.000000000000,0.616157
3026.000000000000,0.603419
3027.000000000000,0.703695
3028.000000000000,0.789618
3029.000000000000,0.781854
3030.000000000000,0.729739
3031.000000000000,0.702381
3032.000000000000,0.735255
3033.000000000000,0.787650
3034.000000000000,0.808278
3035.000000000000,0.815585
3036.000000000000,0.761295
3037.000000000000,0.637661
3038.000000000000,0.609394
3039.000000000000,0.687644
3040.000000000000,0.712020
3041.000000000000,0.675832
3042.000000000000,0.665554
3043.000000000000,0.710573
3044.000000000000,0.758609
3045.000000000000,0.777657
3046.000000000000,0.744793
3047.000000000000,0.656176
3048.000000000000,0.639606
3049.000000000000,0.705583
3050.000000000000,0.726047
3051.000000000000,0.734948
3052.000000000000,0.768302
3053.000000000000,0.744521
3054.000000000000,0.703375
3055.000000000000,0.710609
3056.000000000000,0.692020
3057.000000000000,0.596920
3058.000000000000,0.522072
3059.000000000000,0.544789
3060.000000000000,0.645994
3061.000000000000,0.747232
3062.000000000000,0.782453
3063.000000000000,0.739085
3064.000000000000,0.669613
3065.000000000000,0.632929
3066.000000000000,0.578818
3067.000000000000,0.533648
3068.000000000000,0.582576
3069.000000000000,0.674592
3070.000000000000,0.722307
3071.000000000000,0.716677
3072.000000000000,0.686250
3073.000000000000,0.689295
3074.000000000000,0.702550
3075.000000000000,0.669344
3076.000000000000,0.676622
3077.000000000000,0.712586
3078.000000000000,0.692628
3079.000000000000,0.682280
3080.000000000000,0.698697
3081.000000000000,0.687911
3082.000000000000,0.667758
3083.000000000000,0.679569
3084.000000000000,0.729623
3085.000000000000,0.772853
3086.000000000000,0.726460
3087.000000000000,0.614865
3088.000000000000,0.555846
3089.000000000000,0.555047
3090.000000000000,0.530783
3091.000000000000,0.481175
3092.000000000000,0.437956
3093.000000000000,0.431610
3094.000000000000,0.495892
3095.000000000000,0.548217
3096.000000000000,0.505351
3097.000000000000,0.462762
3098.000000000000,0.498682
3099.000000000000,0.500988
3100.000000000000,0.442941
3101.000000000000,0.429619
3102.000000000000,0.503824
3103.000000000000,0.628885
3104.000000000000,0.705241
3105.000000000000,0.701524
3106.000000000000,0.693502
3107.000000000000,0.734492
3108.000000000000,0.794051
3109.000000000000,0.795353
3110.000000000000,0.741216
3111.000000000000,0.713588
3112.000000000000,0.732308
3113.000000000000,0.744196
3114.000000000000,0.728053
3115.000000000000,0.742465
3116.000000000000,0.738440
3117.000000000000,0.672794
3118.000000000000,0.625933
3119.000000000000,0.593771
3120.000000000000,0.565802
3121.000000000000,0.564969
3122.000000000000,0.586384
3123.000000000000,0.640341
3124.000000000000,0.671614
3125.000000000000,0.645444
3126.000000000000,0.637123
3127.000000000000,0.651020
3128.000000000000,0.640620
3129.000000000000,0.634123
3130.000000000000,0.635748
3131.000000000000,0.644068
3132.000000000000,0.644028
3133.000000000000,0.619850
3134.000000000000,0.613582
3135.000000000000,0.644564
3136.000000000000,0.664792
3137.000000000000,0.689956
3138.000000000000,0.725350
3139.000000000000,0.733680
3140.000000000000,0.744010
3141.000000000000,0.750333
3142.000000000000,0.684129
3143.000000000000,0.501587
3144.000000000000,0.346031
3145.000000000000,0.381500
3146.000000000000,0.500703
3147.000000000000,0.560197
3148.000000000000,0.609413
3149.000000000000,0.685058
3150.000000000000,0.729612
3151.000000000000,0.734080
3152.000000000000,0.707029
3153.000000000000,0.696265
3154.000000000000,0.698422
3155.000000000000,0.649495
3156.000000000000,0.530288
3157.000000000000,0.386308
3158.000000000000,0.313398
3159.000000000000,0.334839
3160.000000000000,0.387382
3161.000000000000,0.417013
3162.000000000000,0.458007
3163.000000000000,0.521731
3164.000000000000,0.552862
3165.000000000000,0.557203
3166.000000000000,0.560278
3167.000000000000,0.565184
3168.000000000000,0.546969
3169.000000000000,0.536331
3170.000000000000,0.604682
3171.000000000000,0.696541
3172.000000000000,0.738829
3173.000000000000,0.734074
3174.000000000000,0.706636
3175.000000000000,0.704494
3176.000000000000,0.732077
3177.000000000000,0.723781
3178.000000000000,0.657711
3179.000000000000,0.556203
3180.000000000000,0.481521
3181.000000000000,0.456850
3182.000000000000,0.457903
3183.000000000000,0.486593
3184.000000000000,0.515345
3185.000000000000,0.538770
3186.000000000000,0.577608
3187.000000000000,0.603927
3188.000000000000,0.620499
3189.000000000000,0.645535
3190.000000000000,0.622520
3191.000000000000,0.541036
3192.000000000000,0.481301
3193.000000000000,0.501352
3194.000000000000,0.562876
3195.000000000000,0.600206
3196.000000000000,0.614097
3197.000000000000,0.622765
3198.000000000000,0.676724
3199.000000000000,0.702288
3200.000000000000,0.654359
3201.000000000000,0.648084
3202.000000000000,0.672423
3203.000000000000,0.685609
3204.000000000000,0.698456
3205.000000000000,0.708435
3206.000000000000,0.726264
3207.000000000000,0.712854
3208.000000000000,0.674423
3209.000000000000,0.660342
3210.000000000000,0.629324
3211.000000000000,0.579423
3212.000000000000,0.553898
3213.000000000000,0.536015
3214.000000000000,0.545921
3215.000000000000,0.609946
3216.000000000000,0.638652
3217.000000000000,0.621690
3218.000000000000,0.634688
3219.000000000000,0.662705
3220.000000000000,0.685018
3221.000000000000,0.684141
3222.000000000000,0.647359
3223.000000000000,0.649069
3224.000000000000,0.671948
3225.000000000000,0.648719
3226.000000000000,0.618997
3227.000000000000,0.595937
3228.000000000000,0.564062
3229.000000000000,0.555016
3230.000000000000,0.590675
3231.000000000000,0.647624
3232.000000000000,0.675648
3233.000000000000,0.639594
3234.000000000000,0.575738
3235.000000000000,0.556561
3236.000000000000,0.573221
3237.000000000000,0.626176
3238.000000000000,0.665015
3239.000000000000,0.641806
3240.000000000000,0.667025
3241.000000000000,0.712831
3242.000000000000,0.709396
3243.000000000000,0.701648
3244.000000000000,0.720594
3245.000000000000,0.770223
3246.000000000000,0.783080
3247.000000000000,0.720185
3248.000000000000,0.665975
3249.000000000000,0.686128
3250.000000000000,0.739714
3251.000000000000,0.762620
3252.000000000000,0.745693
3253.000000000000,0.717154
3254.000000000000,0.721412
3255.000000000000,0.777164
3256.000000000000,0.827155
3257.000000000000,0.839203
3258.000000000000,0.844197
3259.000000000000,0.848365
3260.000000000000,0.844428
3261.000000000000,0.843189
3262.000000000000,0.858781
3263.000000000000,0.857367
3264.000000000000,0.809641
3265.000000000000,0.784863
3266.000000000000,0.821135
3267.000000000000,0.861777
3268.000000000000,0.875387
3269.000000000000,0.869358
3270.000000000000,0.832407
3271.000000000000,0.776096
3272.000000000000,0.769515
3273.000000000000,0.806172
3274.000000000000,0.820559
3275.000000000000,0.815378
3276.000000000000,0.788753
3277.000000000000,0.770093
3278.000000000000,0.777156
3279.000000000000,0.779241
3280.000000000000,0.780818
3281.000000000000,0.774400
3282.000000000000,0.759487
3283.000000000000,0.765219
3284.000000000000,0.790124
3285.000000000000,0.801265
3286.000000000000,0.783020
3287.000000000000,0.758395
3288.000000000000,0.767038
3289.000000000000,0.806525
3290.000000000000,0.837359
3291.000000000000,0.833039
3292.000000000000,0.831113
3293.000000000000,0.859293
3294.000000000000,0.879342
3295.000000000000,0.865551
3296.000000000000,0.851334
3297.000000000000,0.851093
3298.000000000000,0.859273
3299.000000000000,0.862908
3300.000000000000,0.872887
3301.000000000000,0.859868
3302.000000000000,0.801905
3303.000000000000,0.786570
3304.000000000000,0.806645
3305.000000000000,0.773511
3306.000000000000,0.719713
3307.000000000000,0.707164
3308.000000000000,0.726869
3309.000000000000,0.756806
3310.000000000000,0.766912
3311.000000000000,0.769551
3312.000000000000,0.777799
3313.000000000000,0.758632
3314.000000000000,0.724797
3315.000000000000,0.721320
3316.000000000000,0.739255
3317.000000000000,0.754294
3318.000000000000,0.777169
3319.000000000000,0.793525
3320.000000000000,0.782371
3321.000000000000,0.761683
3322.000000000000,0.710068
3323.000000000000,0.660074
3324.000000000000,0.694574
3325.000000000000,0.760406
3326.000000000000,0.773140
3327.000000000000,0.753474
3328.000000000000,0.742779
3329.000000000000,0.711670
3330.000000000000,0.697233
3331.000000000000,0.726175
3332.000000000000,0.734178
3333.000000000000,0.732620
3334.000000000000,0.730771
3335.000000000000,0.694243
3336.000000000000,0.634573
3337.000000000000,0.631339
3338.000000000000,0.692432
3339.000000000000,0.719360
3340.000000000000,0.703168
3341.000000000000,0.697668
3342.000000000000,0.703773
3343.000000000000,0.734499
3344.000000000000,0.767732
3345.000000000000,0.776562
3346.000000000000,0.765724
3347.000000000000,0.731368
3348.000000000000,0.656691
3349.000000000000,0.582039
3350.000000000000,0.625084
3351.000000000000,0.734317
3352.000000000000,0.794435
3353.000000000000,0.799314
3354.000000000000,0.789059
3355.000000000000,0.803765
3356.000000000000,0.799707
3357.000000000000,0.724629
3358.000000000000,0.573386
3359.000000000000,0.397888
3360.000000000000,0.294776
3361.000000000000,0.316356
3362.000000000000,0.453704
3363.000000000000,0.605505
3364.000000000000,0.683358
3365.000000000000,0.701151
3366.000000000000,0.689538
3367.000000000000,0.662642
3368.000000000000,0.609703
3369.000000000000,0.532567
3370.000000000000,0.473256
3371.000000000000,0.443685
3372.000000000000,0.447939
3373.000000000000,0.506878
3374.000000000000,0.592343
3375.000000000000,0.669312
3376.000000000000,0.726592
3377.000000000000,0.744847
3378.000000000000,0.718253
3379.000000000000,0.649379
3380.000000000000,0.584918
3381.000000000000,0.607137
3382.000000000000,0.671364
3383.000000000000,0.669540
3384.000000000000,0.651797
3385.000000000000,0.675771
3386.000000000000,0.686689
3387.000000000000,0.662633
3388.000000000000,0.645222
3389.000000000000,0.682806
3390.000000000000,0.715219
3391.000000000000,0.676814
3392.000000000000,0.611151
3393.000000000000,0.592038
3394.000000000000,0.630600
3395.000000000000,0.683552
3396.000000000000,0.740207
3397.000000000000,0.789676
3398.000000000000,0.808910
3399.000000000000,0.814382
3400.000000000000,0.834673
3401.000000000000,0.822489
3402.000000000000,0.767037
3403.000000000000,0.738569
3404.000000000000,0.745944
3405.000000000000,0.748148
3406.000000000000,0.733263
3407.000000000000,0.728130
3408.000000000000,0.744832
3409.000000000000,0.733925
3410.000000000000,0.734221
3411.000000000000,0.780399
3412.000000000000,0.774259
3413.000000000000,0.689049
3414.000000000000,0.629992
3415.000000000000,0.656450
3416.000000000000,0.710961
3417.000000000000,0.735294
3418.000000000000,0.775802
3419.000000000000,0.820811
3420.000000000000,0.817417
3421.000000000000,0.796948
3422.000000000000,0.780605
3423.000000000000,0.743847
3424.000000000000,0.727838
3425.000000000000,0.755709
3426.000000000000,0.759165
3427.000000000000,0.749561
3428.000000000000,0.794584
3429.000000000000,0.852759
3430.000000000000,0.870147
3431.000000000000,0.848698
3432.000000000000,0.806122
3433.000000000000,0.766800
3434.000000000000,0.794709
3435.000000000000,0.854496
3436.000000000000,0.851469
3437.000000000000,0.815851
3438.000000000000,0.796371
3439.000000000000,0.742182
3440.000000000000,0.619050
3441.000000000000,0.554273
3442.000000000000,0.604665
3443.000000000000,0.641580
3444.000000000000,0.654950
3445.000000000000,0.691869
3446.000000000000,0.721431
3447.000000000000,0.780279
3448.000000000000,0.859134
3449.000000000000,0.879285
3450.000000000000,0.862015
3451.000000000000,0.829056
3452.000000000000,0.770064
3453.000000000000,0.749131
3454.000000000000,0.804859
3455.000000000000,0.864053
3456.000000000000,0.870811
3457.000000000000,0.830144
3458.000000000000,0.770736
3459.000000000000,0.751667
3460.000000000000,0.760210
3461.000000000000,0.748325
3462.000000000000,0.757839
3463.000000000000,0.811056
3464.000000000000,0.840480
3465.000000000000,0.800169
3466.000000000000,0.764847
3467.000000000000,0.800357
3468.000000000000,0.841262
3469.000000000000,0.855495
3470.000000000000,0.868649
3471.000000000000,0.861344
3472.000000000000,0.829653
3473.000000000000,0.800494
3474.000000000000,0.752780
3475.000000000000,0.673929
3476.000000000000,0.625948
3477.000000000000,0.672950
3478.000000000000,0.776832
3479.000000000000,0.852142
3480.000000000000,0.887519
3481.000000000000,0.902543
3482.000000000000,0.886690
3483.000000000000,0.841164
3484.000000000000,0.828763
3485.000000000000,0.854102
3486.000000000000,0.887430
3487.000000000000,0.906909
3488.000000000000,0.881368
3489.000000000000,0.813595
3490.000000000000,0.735559
3491.000000000000,0.724656
3492.000000000000,0.755082
3493.000000000000,0.759311
3494.000000000000,0.789118
3495.000000000000,0.798803
3496.000000000000,0.763456
3497.000000000000,0.747710
3498.000000000000,0.794977
3499.000000000000,0.865977
3500.000000000000,0.876584
3501.000000000000,0.859885
3502.000000000000,0.867756
3503.000000000000,0.888922
3504.000000000000,0.886999
3505.000000000000,0.857766
3506.000000000000,0.843788
3507.000000000000,0.856551
3508.000000000000,0.870631
3509.000000000000,0.846064
3510.000000000000,0.793788
3511.000000000000,0.789947
3512.000000000000,0.804076
3513.000000000000,0.766104
3514.000000000000,0.720715
3515.000000000000,0.734899
3516.000000000000,0.806295
3517.000000000000,0.864261
3518.000000000000,0.867178
3519.000000000000,0.834245
3520.000000000000,0.796386
3521.000000000000,0.773224
3522.000000000000,0.773963
3523.000000000000,0.744773
3524.000000000000,0.672529
3525.000000000000,0.639003
3526.000000000000,0.643530
3527.000000000000,0.701056
3528.000000000000,0.793896
3529.000000000000,0.838937
3530.000000000000,0.841672
3531.000000000000,0.836118
3532.000000000000,0.817034
3533.000000000000,0.813290
3534.000000000000,0.848364
3535.000000000000,0.865663
3536.000000000000,0.851912
3537.000000000000,0.843007
3538.000000000000,0.857834
3539.000000000000,0.884741
3540.000000000000,0.864307
3541.000000000000,0.814401
3542.000000000000,0.812161
3543.000000000000,0.852998
3544.000000000000,0.877836
3545.000000000000,0.868962
3546.000000000000,0.855763
3547.000000000000,0.833636
3548.000000000000,0.817141
3549.000000000000,0.848526
3550.000000000000,0.881186
3551.000000000000,0.877261
3552.000000000000,0.843684
3553.000000000000,0.790538
3554.000000000000,0.741229
3555.000000000000,0.732840
3556.000000000000,0.744118
3557.000000000000,0.732213
3558.000000000000,0.712465
3559.000000000000,0.711784
3560.000000000000,0.730387
3561.000000000000,0.738728
3562.000000000000,0.754603
3563.000000000000,0.770202
3564.000000000000,0.718878
3565.000000000000,0.607874
3566.000000000000,0.562720
3567.000000000000,0.624462
3568.000000000000,0.666100
3569.000000000000,0.605201
3570.000000000000,0.548949
3571.000000000000,0.594782
3572.000000000000,0.656803
3573.000000000000,0.691531
3574.000000000000,0.709827
3575.000000000000,0.717871
3576.000000000000,0.731188
3577.000000000000,0.737644
3578.000000000000,0.709525
3579.000000000000,0.665436
3580.000000000000,0.593168
3581.000000000000,0.510877
3582.000000000000,0.538559
3583.000000000000,0.612652
3584.000000000000,0.588118
3585.000000000000,0.512738
3586.000000000000,0.496124
3587.000000000000,0.526014
3588.000000000000,0.563051
3589.000000000000,0.579127
3590.000000000000,0.618285
3591.000000000000,0.719375
3592.000000000000,0.789255
3593.000000000000,0.788254
3594.000000000000,0.777991
3595.000000000000,0.788836
3596.000000000000,0.816190
3597.000000000000,0.846721
3598.000000000000,0.875082
3599.000000000000,0.903257
3600.000000000000,0.914234
3601.000000000000,0.885905
3602.000000000000,0.822462
3603.000000000000,0.784306
3604.000000000000,0.779463
3605.000000000000,0.764447
3606.000000000000,0.762228
3607.000000000000,0.769679
3608.000000000000,0.724072
3609.000000000000,0.664168
3610.000000000000,0.678137
3611.000000000000,0.741840
3612.000000000000,0.776572
3613.000000000000,0.766793
3614.000000000000,0.781729
3615.000000000000,0.828088
3616.000000000000,0.851408
3617.000000000000,0.799967
3618.000000000000,0.666100
3619.000000000000,0.590154
3620.000000000000,0.672408
3621.000000000000,0.773635
3622.000000000000,0.814131
3623.000000000000,0.819100
3624.000000000000,0.809572
3625.000000000000,0.840831
3626.000000000000,0.891184
3627.000000000000,0.884751
3628.000000000000,0.851101
3629.000000000000,0.827584
3630.000000000000,0.751959
3631.000000000000,0.648638
3632.000000000000,0.654341
3633.000000000000,0.725651
3634.000000000000,0.730580
3635.000000000000,0.703788
3636.000000000000,0.720444
3637.000000000000,0.759927
3638.000000000000,0.784512
3639.000000000000,0.804054
3640.000000000000,0.833031
3641.000000000000,0.840397
3642.000000000000,0.804878
3643.000000000000,0.760753
3644.000000000000,0.733227
3645.000000000000,0.729753
3646.000000000000,0.743800
3647.000000000000,0.711496
3648.000000000000,0.673292
3649.000000000000,0.693068
3650.000000000000,0.717421
3651.000000000000,0.731395
3652.000000000000,0.765837
3653.000000000000,0.812147
3654.000000000000,0.841014
3655.000000000000,0.870213
3656.000000000000,0.885786
3657.000000000000,0.874128
3658.000000000000,0.860390
3659.000000000000,0.860707
3660.000000000000,0.854831
3661.000000000000,0.848700
3662.000000000000,0.846464
3663.000000000000,0.837314
3664.000000000000,0.818187
3665.000000000000,0.827064
3666.000000000000,0.862689
3667.000000000000,0.872119
3668.000000000000,0.844825
3669.000000000000,0.798983
3670.000000000000,0.792109
3671.000000000000,0.835184
3672.000000000000,0.855197
3673.000000000000,0.832343
3674.000000000000,0.831987
