wl,flux
3000.000000000000,0.802072
3001.000000000000,0.678026
3002.000000000000,0.620843
3003.000000000000,0.624659
3004.000000000000,0.700817
3005.000000000000,0.759000
3006.000000000000,0.731355
3007.000000000000,0.681648
3008.000000000000,0.674530
3009.000000000000,0.721723
3010.000000000000,0.778296
3011.000000000000,0.792068
3012.000000000000,0.763224
3013.000000000000,0.757177
3014.000000000000,0.774048
3015.000000000000,0.765423
3016.000000000000,0.746064
3017.000000000000,0.716313
3018.000000000000,0.668692
3019.000000000000,0.603891
3020.000000000000,0.509919
3021.000000000000,0.490623
3022.000000000000,0.619523
3023.000000000000,0.736664
3024.000000000000,0.747102
3025.000000000000,0.701114
3026.000000000000,0.687501
3027.000000000000,0.743395
3028.000000000000,0.795224
3029.000000000000,0.798160
3030.000000000000,0.772928
3031.000000000000,0.761854
3032.000000000000,0.785864
3033.000000000000,0.816952
3034.000000000000,0.831040
3035.000000000000,0.846086
3036.000000000000,0.814444
3037.000000000000,0.726861
3038.000000000000,0.709255
3039.000000000000,0.765941
3040.000000000000,0.775622
3041.000000000000,0.744776
3042.000000000000,0.748012
3043.000000000000,0.791929
3044.000000000000,0.825067
3045.000000000000,0.834158
3046.000000000000,0.813271
3047.000000000000,0.747499
3048.000000000000,0.724984
3049.000000000000,0.766981
3050.000000000000,0.781891
3051.000000000000,0.790038
3052.000000000000,0.808397
3053.000000000000,0.768273
3054.000000000000,0.711223
3055.000000000000,0.706262
3056.000000000000,0.701432
3057.000000000000,0.654346
3058.000000000000,0.619313
3059.000000000000,0.640685
3060.000000000000,0.709975
3061.000000000000,0.781045
3062.000000000000,0.810155
3063.000000000000,0.789348
3064.000000000000,0.750703
3065.000000000000,0.725964
3066.000000000000,0.674981
3067.000000000000,0.642374
3068.000000000000,0.692038
3069.000000000000,0.768998
3070.000000000000,0.806887
3071.000000000000,0.791456
3072.000000000000,0.757895
3073.000000000000,0.761623
3074.000000000000,0.773418
3075.000000000000,0.749325
3076.000000000000,0.749988
3077.000000000000,0.762007
3078.000000000000,0.743672
3079.000000000000,0.747306
3080.000000000000,0.765663
3081.000000000000,0.760213
3082.000000000000,0.752564
3083.000000000000,0.764930
3084.000000000000,0.795040
3085.000000000000,0.812012
3086.000000000000,0.749197
3087.000000000000,0.632315
3088.000000000000,0.580349
3089.000000000000,0.596664
3090.000000000000,0.603044
3091.000000000000,0.576917
3092.000000000000,0.536359
3093.000000000000,0.524107
3094.000000000000,0.573371
3095.000000000000,0.619114
3096.000000000000,0.586604
3097.000000000000,0.547032
3098.000000000000,0.579403
3099.000000000000,0.599145
3100.000000000000,0.565933
3101.000000000000,0.559482
3102.000000000000,0.607337
3103.000000000000,0.685108
3104.000000000000,0.733032
3105.000000000000,0.729843
3106.000000000000,0.727999
3107.000000000000,0.762638
3108.000000000000,0.812831
3109.000000000000,0.810490
3110.000000000000,0.764436
3111.000000000000,0.739609
3112.000000000000,0.756543
3113.000000000000,0.772323
3114.000000000000,0.752586
3115.000000000000,0.762742
3116.000000000000,0.764221
3117.000000000000,0.707599
3118.000000000000,0.660197
3119.000000000000,0.600500
