wl,flux
3000.000000000000,0.833998
3001.000000000000,0.720925
3002.000000000000,0.675773
3003.000000000000,0.681531
3004.000000000000,0.742236
3005.000000000000,0.778915
3006.000000000000,0.747825
3007.000000000000,0.717478
3008.000000000000,0.727860
3009.000000000000,0.776121
3010.000000000000,0.810213
3011.000000000000,0.810298
3012.000000000000,0.785440
3013.000000000000,0.779897
3014.000000000000,0.803096
3015.000000000000,0.796842
3016.000000000000,0.779728
3017.000000000000,0.763551
3018.000000000000,0.723369
3019.000000000000,0.668073
3020.000000000000,0.586188
3021.000000000000,0.541272
3022.000000000000,0.598921
3023.000000000000,0.673065
3024.000000000000,0.705818
3025.000000000000,0.700019
3026.000000000000,0.697282
3027.000000000000,0.723526
3028.000000000000,0.755048
3029.000000000000,0.775246
3030.000000000000,0.776336
3031.000000000000,0.780369
3032.000000000000,0.798256
3033.000000000000,0.814496
3034.000000000000,0.825361
3035.000000000000,0.845796
3036.000000000000,0.828666
3037.000000000000,0.768120
3038.000000000000,0.762312
3039.000000000000,0.804506
3040.000000000000,0.798204
3041.000000000000,0.766635
3042.000000000000,0.785871
3043.000000000000,0.839211
3044.000000000000,0.865166
3045.000000000000,0.864760
3046.000000000000,0.848095
3047.000000000000,0.792034
3048.000000000000,0.753465
3049.000000000000,0.765947
3050.000000000000,0.767063
3051.000000000000,0.773052
3052.000000000000,0.785403
3053.000000000000,0.727224
3054.000000000000,0.639859
3055.000000000000,0.620888
3056.000000000000,0.638787
3057.000000000000,0.641958
3058.000000000000,0.641953
3059.000000000000,0.658762
3060.000000000000,0.701292
3061.000000000000,0.751745
3062.000000000000,0.783685
3063.000000000000,0.787899
3064.000000000000,0.777094
3065.000000000000,0.766647
3066.000000000000,0.722009
3067.000000000000,0.703685
3068.000000000000,0.752192
3069.000000000000,0.812631
3070.000000000000,0.849930
3071.000000000000,0.835812
3072.000000000000,0.804030
3073.000000000000,0.806987
3074.000000000000,0.810045
3075.000000000000,0.787081
3076.000000000000,0.773042
3077.000000000000,0.755877
3078.000000000000,0.740395
3079.000000000000,0.757999
3080.000000000000,0.772309
3081.000000000000,0.767227
3082.000000000000,0.773428
3083.000000000000,0.788177
3084.000000000000,0.798486
3085.000000000000,0.799188
3086.000000000000,0.739280
3087.000000000000,0.633339
3088.000000000000,0.589625
3089.000000000000,0.608068
3090.000000000000,0.626321
3091.000000000000,0.608319
